iter	Passed	Remaining
1174	7244	5086
1175	7249	5079
1176	7254	5072
1177	7258	5064
1178	7262	5057
1179	7269	5051
1180	7273	5044
1181	7277	5036
1182	7284	5030
1183	7289	5023
1184	7293	5016
1185	7300	5010
1186	7305	5003
1187	7309	4996
1188	7314	4989
1189	7319	4982
1190	7324	4975
1191	7328	4967
1192	7336	4962
1193	7341	4955
1194	7347	4949
1195	7352	4942
1196	7357	4935
1197	7364	4930
1198	7369	4923
1199	7373	4915
1200	7379	4909
1201	7384	4902
1202	7389	4895
1203	7396	4890
1204	7401	4883
1205	7406	4876
1206	7413	4870
1207	7419	4864
1208	7423	4857
1209	7431	4851
1210	7436	4844
1211	7441	4837
1212	7448	4832
1213	7452	4825
1214	7459	4819
1215	7466	4813
1216	7470	4806
1217	7475	4799
1218	7482	4793
1219	7487	4786
1220	7493	4780
1221	7499	4774
1222	7504	4767
1223	7512	4762
1224	7520	4757
1225	7529	4753
1226	7535	4747
1227	7541	4740
1228	7547	4734
1229	7552	4727
1230	7559	4722
1231	7565	4716
1232	7571	4709
1233	7576	4703
1234	7581	4696
1235	7587	4689
1236	7594	4684
1237	7599	4677
1238	7604	4670
1239	7610	4664
1240	7616	4658
1241	7621	4651
1242	7629	4646
1243	7635	4640
1244	7641	4633
1245	7646	4627
1246	7650	4619
1247	7656	4613
1248	7661	4606
1249	7666	4600
1250	7673	4594
1251	7678	4587
1252	7683	4580
1253	7689	4574
1254	7694	4567
1255	7699	4560
1256	7706	4555
1257	7711	4548
1258	7716	4541
1259	7725	4537
1260	7729	4529
1261	7733	4522
1262	7740	4516
1263	7746	4510
1264	7751	4503
1265	7757	4497
1266	7762	4490
1267	7769	4485
1268	7775	4478
1269	7780	4472
1270	7787	4466
1271	7792	4459
1272	7796	4452
1273	7805	4448
1274	7810	4441
1275	7816	4435
1276	7824	4430
1277	7830	4423
1278	7838	4418
1279	7843	4412
1280	7851	4406
1281	7859	4401
1282	7865	4395
1283	7872	4390
1284	7878	4383
1285	7887	4378
1286	7895	4374
1287	7904	4369
1288	7911	4363
1289	7918	4358
1290	7926	4353
1291	7938	4350
1292	7942	4343
1293	7949	4337
1294	7956	4331
1295	7963	4326
1296	7971	4320
1297	7977	4314
1298	7987	4310
1299	7994	4304
1300	8004	4300
1301	8010	4294
1302	8019	4289
1303	8025	4283
1304	8034	4278
1305	8041	4273
1306	8051	4269
1307	8057	4262
1308	8065	4257
1309	8071	4251
1310	8078	4245
1311	8084	4239
1312	8091	4233
1313	8100	4229
1314	8106	4222
1315	8113	4216
1316	8118	4210
1317	8124	4204
1318	8131	4198
1319	8135	4191
1320	8140	4184
1321	8149	4179
1322	8153	4172
1323	8160	4166
1324	8165	4159
1325	8171	4153
1326	8178	4147
1327	8183	4141
1328	8188	4134
1329	8195	4128
1330	8200	4121
1331	8205	4115
1332	8214	4110
1333	8221	4104
1334	8229	4099
1335	8234	4092
1336	8240	4086
1337	8248	4080
1338	8253	4074
1339	8260	4068
1340	8266	4062
1341	8271	4055
1342	8281	4051
1343	8292	4047
1344	8298	4041
1345	8306	4036
1346	8314	4030
1347	8321	4024
1348	8331	4020
1349	8344	4017
1350	8349	4010
1351	8357	4005
1352	8364	3999
1353	8372	3994
1354	8379	3988
1355	8389	3984
1356	8397	3978
1357	8407	3974
1358	8415	3969
1359	8425	3964
1360	8433	3959
1361	8445	3956
1362	8452	3950
1363	8457	3943
1364	8462	3936
1365	8469	3931
1366	8475	3924
1367	8481	3918
1368	8489	3912
1369	8495	3906
1370	8502	3900
1371	8507	3894
1372	8513	3887
1373	8521	3882
1374	8527	3876
1375	8535	3870
1376	8543	3865
1377	8548	3858
1378	8554	3852
1379	8559	3845
1380	8565	3839
1381	8572	3833
1382	8576	3826
1383	8584	3820
1384	8590	3814
1385	8595	3807
1386	8605	3803
1387	8610	3796
1388	8621	3792
1389	8628	3786
1390	8638	3781
1391	8644	3775
1392	8654	3771
1393	8660	3764
1394	8667	3758
1395	8672	3752
1396	8678	3745
1397	8685	3739
1398	8690	3733
1399	8699	3728
1400	8705	3722
1401	8714	3717
1402	8721	3710
1403	8727	3705
1404	8736	3699
1405	8747	3695
1406	8753	3689
1407	8761	3683
1408	8769	3678
1409	8773	3671
1410	8779	3664
1411	8784	3657
1412	8788	3651
1413	8795	3644
1414	8800	3638
1415	8806	3631
1416	8812	3625
1417	8817	3619
1418	8824	3613
1419	8830	3606
1420	8835	3600
1421	8843	3594
1422	8847	3587
1423	8852	3580
1424	8859	3574
1425	8864	3568
1426	8869	3561
1427	8876	3555
1428	8880	3548
